UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jan12 ?        00:00:29 /sbin/init splash
root         2     0  0 Jan12 ?        00:00:00 [kthreadd]
root         4     2  0 Jan12 ?        00:00:00 [kworker/0:0H]
root         6     2  0 Jan12 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Jan12 ?        00:00:01 [ksoftirqd/0]
root         8     2  0 Jan12 ?        00:03:05 [rcu_sched]
root         9     2  0 Jan12 ?        00:00:00 [rcu_bh]
root        10     2  0 Jan12 ?        00:00:00 [migration/0]
root        11     2  0 Jan12 ?        00:00:03 [watchdog/0]
root        12     2  0 Jan12 ?        00:00:00 [cpuhp/0]
root        13     2  0 Jan12 ?        00:00:00 [cpuhp/1]
root        14     2  0 Jan12 ?        00:00:03 [watchdog/1]
root        15     2  0 Jan12 ?        00:00:00 [migration/1]
root        16     2  0 Jan12 ?        00:00:30 [ksoftirqd/1]
root        18     2  0 Jan12 ?        00:00:00 [kworker/1:0H]
root        19     2  0 Jan12 ?        00:00:00 [cpuhp/2]
root        20     2  0 Jan12 ?        00:00:03 [watchdog/2]
root        21     2  0 Jan12 ?        00:00:00 [migration/2]
root        22     2  0 Jan12 ?        00:00:00 [ksoftirqd/2]
root        24     2  0 Jan12 ?        00:00:00 [kworker/2:0H]
root        25     2  0 Jan12 ?        00:00:00 [kdevtmpfs]
root        26     2  0 Jan12 ?        00:00:00 [netns]
root        27     2  0 Jan12 ?        00:00:00 [rcu_tasks_kthre]
root        28     2  0 Jan12 ?        00:00:00 [kauditd]
root        32     2  0 Jan12 ?        00:00:02 [khungtaskd]
root        33     2  0 Jan12 ?        00:00:00 [oom_reaper]
root        34     2  0 Jan12 ?        00:00:00 [writeback]
root        35     2  0 Jan12 ?        00:00:00 [kcompactd0]
root        36     2  0 Jan12 ?        00:00:00 [ksmd]
root        37     2  0 Jan12 ?        00:00:00 [khugepaged]
root        38     2  0 Jan12 ?        00:00:00 [crypto]
root        39     2  0 Jan12 ?        00:00:00 [kintegrityd]
root        40     2  0 Jan12 ?        00:00:00 [kblockd]
root        41     2  0 Jan12 ?        00:00:00 [ata_sff]
root        42     2  0 Jan12 ?        00:00:00 [md]
root        43     2  0 Jan12 ?        00:00:00 [edac-poller]
root        44     2  0 Jan12 ?        00:00:00 [devfreq_wq]
root        45     2  0 Jan12 ?        00:00:00 [watchdogd]
root        48     2  0 Jan12 ?        00:00:00 [kswapd0]
root        49     2  0 Jan12 ?        00:00:00 [kworker/u7:0]
root        50     2  0 Jan12 ?        00:00:00 [ecryptfs-kthrea]
root        92     2  0 Jan12 ?        00:00:00 [kthrotld]
root        93     2  0 Jan12 ?        00:00:00 [acpi_thermal_pm]
root        95     2  0 Jan12 ?        00:00:00 [scsi_eh_0]
root        96     2  0 Jan12 ?        00:00:00 [scsi_tmf_0]
